"Address","Адрес"
"Activity","Деятельность"
"Action","Действие"
"Add Company","Добавить компанию"
"Add New Company","Добавить новую компанию"
"Are you sure?","Уверены?"
"Balance","Баланс"
"Back","Назад"
"Type","Тип"
"Change status","Изменить статус"
"Company","Компания"
"Companies","Компании"
"Company Address","АдресаКкомпании"
"Company Attributes","Аттрибуты"
"Company Information","Информация о Компании"
"Company Owners","Владельцы Компании"
"Company Prices","Каталоги цен"
"Company was saved","Данные Компании сохранены"
"Country","Страна"
"Created at","Создана"
"Delete Company","Удалить Компанию"
"Delete","Удалить"
"Disabled","Не аткивна"
"Edit","Редактировать"
"Edit Company '%s'","Редактирование Компании '%s'"
"Email","Email"
"Enabled","Активна"
"Export","Экспорт"
"Export to:","Экспорт в..."
"Feedback","Отзывы"
"General Information","Основная Инвормация"
"License","Лицензии"
"More","Подробнее"
"Manage Company","Управление Компаниями"
"Name","Название"
"Portfolio","Портфолио"
"Product List","Список товаров"
"Registration Date","Дата регистрации"
"Reset","Сбросить все"
"Reset Filter","Сбросить Фильтр"
"Search","Найти"
"Settings","Настройки"
"Site","Сайт"
"Status","Статус"
"Submit","Выполнить"
"Save Company","Сохранить компанию"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Updated at","Изменено"
"There are no companies registered at this moment","Нет зарегистрированных на данный момент компаний"
"Total of %d record(s) have been deleted.","Удалено %d записей"
